Celsius,Fahrenheit,Humidity
10.6,51.08,30.41210165
10.6,51.08,27.95281926
6.1,42.98,52.89009742
5.6,42.08,50.43949488
6.1,42.98,48.72535239
7.2,44.96,36.53994654
6.1,42.98,41.25950838
5,41,46.25644409
5,41,44.52855342
3.3,37.94,50.16459357
1.1,33.98,63.78690342
1.1,33.98,72.46851625
2.2,35.96,49.84823559
2.8,37.04,45.60542617
1.1,33.98,53.92974174
1.1,33.98,58.67446758
2.8,37.04,59.11374034
4.4,39.92,57.34893658
6.1,42.98,50.95939472
7.2,44.96,49.04005603
7.8,46.04,49.21077773
8.9,48.02,47.38952105
8.9,48.02,45.67507306
9.4,48.92,47.88211807
9.4,48.92,49.66282082
7.8,46.04,57.8071033
5.6,42.08,67.2361283
3.9,39.02,79.0608096
2.8,37.04,85.44168274
3.9,39.02,79.0608096
2.8,37.04,81.81248555
2.8,37.04,81.81248555
2.8,37.04,81.81248555
3.3,37.94,78.96964873
2.8,37.04,88.57425771
2.8,37.04,81.81248555
2.8,37.04,85.44168274
2.8,37.04,85.44168274
3.3,37.94,82.47273784
3.9,39.02,75.70264461
5,41,75.8908521
6.7,44.06,67.473831
7.8,46.04,65.33562865
9.4,48.92,60.76330335
11.7,53.06,52.13198956
12.2,53.96,56.88802543
12.8,55.04,52.42982773
13.3,55.94,50.74522246
11.1,51.98,63.35649453
10,50,63.10162953
7.8,46.04,76.36074486
8.3,46.94,73.81020191
8.3,46.94,73.81020191
7.8,46.04,79.0848221
7.2,44.96,82.39018584
7.8,46.04,79.0848221
7.8,46.04,79.0848221
9.4,48.92,74.00710179
9.4,48.92,74.00710179
10,50,74.11362975
10.6,51.08,73.70931657
11.1,51.98,80.1120782
10.6,51.08,89.2296341
10.6,51.08,89.2296341
10.6,51.08,92.28570829
11.1,51.98,92.93481201
11.1,51.98,96.73193244
11.7,53.06,92.96692663
11.7,53.06,96.10779427
12.2,53.96,92.99352401
12.2,53.96,89.95443282
12.2,53.96,92.99352401
12.2,53.96,96.75960697
12.2,53.96,96.75960697
12.2,53.96,100
12,53.6,100
12.2,53.96,100
12.8,55.04,96.14057732
13.3,55.94,96.78693342
13.3,55.94,96.78693342
13.3,55.94,96.78693342
13.3,55.94,96.78693342
13.3,55.94,96.78693342
13,55.4,100
13.3,55.94,100
13.3,55.94,96.78693342
13.3,55.94,96.78693342
13.3,55.94,96.78693342
12.8,55.04,100
12.8,55.04,96.14057732
12.8,55.04,93.02524476
12.2,53.96,92.99352401
11.7,53.06,96.10779427
11.1,51.98,96.73193244
10.6,51.08,96.07459467
10.6,51.08,92.28570829
10,50,82.74413739
9.4,48.92,79.87078166
9.4,48.92,68.52733466
8.9,48.02,67.94226538
